Sun May 20 10:00:43 2012    build/site/reports/profile_lotsOfCustomers.profile

         8937056 function calls (8936893 primitive calls) in 11.399 seconds

   Ordered by: cumulative time
   List reduced from 456 to 116 due to restriction <'cutplace'>
   List reduced from 116 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   11.399   11.399 /Users/agi/workspace/cutplace/cutplace/test_performance.py:36(_buildAndValidateManyCustomers)
        1    0.040    0.040    9.430    9.430 /Users/agi/workspace/cutplace/cutplace/_cutplace.py:295(main)
        1    0.000    0.000    9.390    9.390 /Users/agi/workspace/cutplace/cutplace/_cutplace.py:258(process)
        1    0.000    0.000    9.377    9.377 /Users/agi/workspace/cutplace/cutplace/_cutplace.py:191(validate)
        1    1.117    1.117    9.377    9.377 /Users/agi/workspace/cutplace/cutplace/interface.py:681(validate)
   120006    0.396    0.000    5.735    0.000 /Users/agi/workspace/cutplace/cutplace/fields.py:168(validated)
   120006    0.921    0.000    3.207    0.000 /Users/agi/workspace/cutplace/cutplace/fields.py:128(validateCharacters)
        1    0.027    0.027    1.969    1.969 /Users/agi/workspace/cutplace/cutplace/dev_test.py:176(createLotsOfCustomersCsv)
    20000    0.078    0.000    1.883    0.000 /Users/agi/workspace/cutplace/cutplace/dev_test.py:150(createTestCustomerRow)
    20000    0.026    0.000    1.627    0.000 /Users/agi/workspace/cutplace/cutplace/dev_test.py:55(createTestDateTime)
    20000    0.107    0.000    1.449    0.000 /Users/agi/workspace/cutplace/cutplace/dev_test.py:38(randomDatetime)
   864098    1.362    0.000    1.434    0.000 /Users/agi/workspace/cutplace/cutplace/ranges.py:258(validate)
    20001    0.029    0.000    1.162    0.000 /Users/agi/workspace/cutplace/cutplace/_parsers.py:156(delimitedReader)
    20001    0.031    0.000    0.991    0.000 /Users/agi/workspace/cutplace/cutplace/fields.py:356(validatedValue)
   120013    0.225    0.000    0.863    0.000 /Users/agi/workspace/cutplace/cutplace/data.py:271(get)
   120006    0.587    0.000    0.788    0.000 /Users/agi/workspace/cutplace/cutplace/fields.py:143(validateLength)
   120033    0.336    0.000    0.528    0.000 /Users/agi/workspace/cutplace/cutplace/data.py:152(_normalizedKey)
    20000    0.090    0.000    0.387    0.000 /Users/agi/workspace/cutplace/cutplace/checks.py:178(checkRow)
   520000    0.155    0.000    0.155    0.000 /Users/agi/workspace/cutplace/cutplace/tools.py:127(cell)
    20000    0.053    0.000    0.154    0.000 /Users/agi/workspace/cutplace/cutplace/tools.py:89(__copy__)


